player,pos,age,bref_team_id,g,gs,mp,fg.,efg.,ft.,orb,drb,trb,ast,stl,blk,tov,pf,pts,po,conf
Nemanja Nedovic,SG,22,GSW,24,0,142,0.205,0.244,0.875,3,12,15,13,0,1,13,13,26,FT,West
Jameer Nelson,PG,31,ORL,68,68,2179,0.39399999999999996,0.485,0.857,29,202,231,476,52,5,166,146,820,NP,West
Andrew Nicholson,PF,24,ORL,76,5,1174,0.429,0.462,0.825,53,202,255,25,18,23,51,150,435,NP,West
Joakim Noah,C,28,CHI,80,80,2820,0.475,0.475,0.737,282,618,900,431,99,121,194,245,1007,FT,East
Steve Novak,PF,30,TOR,54,1,540,0.41100000000000003,0.589,1.0,8,50,58,13,12,4,5,44,178,FT,East
Dirk Nowitzki,PF,35,DAL,80,80,2628,0.4970000000000001,0.5489999999999999,0.899,40,458,498,216,73,45,117,165,1735,FT,West
Jermaine O'Neal,PF,35,GSW,44,13,883,0.504,0.504,0.75,85,157,242,25,14,40,52,102,349,FT,West
Kyle O'Quinn,C,23,ORL,69,19,1188,0.501,0.501,0.687,100,264,364,78,39,88,78,165,429,NP,West
Greg Oden,C,26,MIA,23,6,212,0.551,0.551,0.565,23,31,54,1,7,13,12,52,67,F,East
Victor Oladipo,PG,21,ORL,80,44,2487,0.419,0.45799999999999996,0.78,43,286,329,327,129,37,256,210,1106,NP,West
Kelly Olynyk,C,22,BOS,70,9,1400,0.466,0.506,0.8109999999999999,140,225,365,109,35,27,106,227,607,NP,East
Daniel Orton,C,23,PHI,22,4,251,0.447,0.447,0.767,16,45,61,15,6,16,18,38,65,NP,East
Travis Outlaw,SF,29,SAC,63,4,1065,0.39899999999999997,0.462,0.8079999999999999,36,132,168,48,20,19,26,94,343,NP,West
Zaza Pachulia,C,29,MIL,53,43,1325,0.4270000000000001,0.4270000000000001,0.846,141,192,333,136,45,14,92,124,408,NP,East
Jannero Pargo,PG,34,CHA,29,0,242,0.441,0.542,0.727,1,19,20,52,14,1,26,17,136,FT,East
Tony Parker,PG,31,SAS,68,68,1997,0.499,0.513,0.8109999999999999,17,138,155,388,36,9,151,86,1134,F,West
Chandler Parsons,SF,25,HOU,74,74,2783,0.47200000000000003,0.5379999999999999,0.742,69,340,409,298,88,29,144,168,1226,FT,West
Chris Paul,PG,28,LAC,62,62,2171,0.467,0.511,0.855,38,230,268,663,154,4,145,157,1185,FT,West
Nikola Pekovic,C,28,MIN,54,54,1663,0.541,0.541,0.747,206,262,468,50,30,23,84,129,944,NP,West
Kendrick Perkins,C,29,OKC,62,62,1207,0.451,0.451,0.552,82,223,305,67,26,32,90,177,211,F,West
Paul Pierce,SF,36,BRK,75,68,2098,0.451,0.529,0.826,26,322,348,178,86,31,153,190,1010,FT,East
Dexter Pittman,C,25,ATL,2,0,3,0.0,0.0,0.0,3,0,3,0,0,0,0,0,0,FT,East
Mason Plumlee,PF,23,BRK,70,22,1275,0.659,0.659,0.626,99,209,308,60,49,55,77,171,520,FT,East
Miles Plumlee,C,25,PHO,80,79,1964,0.517,0.517,0.561,198,428,626,43,50,90,111,185,646,NP,West
Quincy Pondexter,SG,25,MEM,15,2,270,0.392,0.462,0.8079999999999999,10,16,26,20,5,1,15,18,94,FT,West
Otto Porter,SF,20,WAS,37,0,319,0.363,0.385,0.667,21,36,57,10,8,1,14,26,78,FT,East
Phil Pressey,PG,22,BOS,75,11,1132,0.308,0.364,0.644,20,85,105,241,68,5,87,97,213,NP,East
A.J. Price,SG,27,MIN,28,0,99,0.413,0.478,0.0,1,9,10,13,1,0,7,5,44,NP,West
Ronnie Price,SG,30,ORL,31,2,377,0.304,0.353,0.6920000000000001,8,35,43,66,25,2,26,50,74,NP,West
Pablo Prigioni,PG,36,NYK,66,27,1283,0.461,0.631,0.917,36,93,129,228,67,2,60,132,252,NP,East
Tayshaun Prince,SF,33,MEM,76,76,1948,0.40700000000000003,0.4270000000000001,0.5670000000000001,32,202,234,119,39,19,41,63,454,FT,West
Miroslav Raduljica,C,26,MIL,48,2,465,0.54,0.54,0.818,54,54,108,23,7,13,28,84,181,NP,East
Anthony Randolph,PF,24,DEN,43,5,527,0.386,0.43799999999999994,0.754,20,102,122,32,26,19,39,64,206,NP,West
Shavlik Randolph,PF,30,PHO,14,0,95,0.5,0.5,0.545,7,18,25,1,3,1,5,15,20,NP,West
Zach Randolph,PF,32,MEM,79,79,2705,0.467,0.46799999999999997,0.742,265,530,795,200,54,23,183,210,1372,FT,West
J.J. Redick,SG,29,LAC,35,34,987,0.455,0.546,0.915,9,65,74,78,28,3,42,65,532,FT,West
Glen Rice,SG,23,WAS,11,1,109,0.297,0.365,0.7140000000000001,4,16,20,7,6,1,9,7,32,FT,East
Austin Rivers,SG,21,NOP,69,4,1339,0.405,0.44299999999999995,0.636,26,103,129,160,45,9,77,134,530,NP,East
Andre Roberson,PF,22,OKC,40,16,399,0.485,0.5,0.7,36,58,94,15,19,10,19,74,75,F,West
Brian Roberts,PG,28,NOP,72,42,1667,0.42,0.475,0.94,17,119,136,234,43,7,95,132,677,NP,East
Nate Robinson,PG,29,DEN,44,1,866,0.428,0.504,0.835,21,60,81,112,36,4,58,92,457,NP,West
Thomas Robinson,PF,22,POR,70,0,873,0.48100000000000004,0.48100000000000004,0.564,105,202,307,34,23,20,57,131,339,FT,West
Rajon Rondo,PG,27,BOS,30,30,998,0.40299999999999997,0.44,0.627,22,142,164,294,40,2,99,65,350,NP,East
Derrick Rose,PG,25,CHI,10,10,311,0.354,0.402,0.8440000000000001,9,23,32,43,5,1,34,15,159,FT,East
Terrence Ross,SG,22,TOR,81,62,2159,0.423,0.531,0.8370000000000001,43,209,252,79,64,27,88,183,879,FT,East
Ricky Rubio,PG,23,MIN,82,82,2638,0.381,0.413,0.802,61,281,342,704,191,11,221,218,781,NP,West
Brandon Rush,SG,28,UTA,38,0,418,0.33299999999999996,0.42200000000000004,0.6,5,39,44,24,5,9,20,31,79,NP,West
Robert Sacre,C,24,LAL,65,13,1089,0.47700000000000004,0.47700000000000004,0.6809999999999999,82,172,254,51,24,47,44,134,350,NP,West
Larry Sanders,C,25,MIL,23,20,584,0.469,0.469,0.473,60,105,165,19,18,40,26,74,178,NP,East
Dennis Schröder,PG,20,ATL,49,0,641,0.38299999999999995,0.41,0.674,5,55,60,93,17,0,61,54,183,FT,East
Luis Scola,PF,33,IND,82,2,1399,0.47,0.47100000000000003,0.728,86,305,391,81,26,16,108,164,626,F,East
Mike Scott,PF,25,ATL,80,6,1482,0.479,0.529,0.78,62,222,284,75,30,7,79,121,767,FT,East
Thabo Sefolosha,SG,29,OKC,61,61,1584,0.415,0.485,0.768,50,170,220,94,79,17,55,90,383,F,West
Kevin Seraphin,C,24,WAS,53,1,578,0.505,0.505,0.871,53,75,128,17,3,26,41,103,249,FT,East
Mustafa Shakur,PG,29,OKC,3,0,11,0.0,0.0,0.5,0,0,0,4,0,0,2,2,1,F,West
Iman Shumpert,SG,23,NYK,74,58,1962,0.37799999999999995,0.457,0.746,81,227,308,129,92,13,79,209,495,NP,East
Alexey Shved,SG,25,MIN,63,0,664,0.321,0.384,0.7559999999999999,21,60,81,68,26,16,48,36,250,NP,West
Kyle Singler,SF,25,DET,82,36,2337,0.447,0.525,0.826,116,187,303,75,61,38,79,211,784,NP,East
Chris Singleton,SF,24,WAS,25,0,250,0.373,0.425,0.72,18,37,55,6,9,3,17,25,75,FT,East
Peyton Siva,SG,23,DET,24,0,224,0.316,0.377,0.733,2,12,14,34,9,1,18,27,54,NP,East
Donald Sloan,SG,26,IND,48,1,392,0.376,0.419,0.6,4,40,44,50,10,1,22,19,110,F,East
Greg Smith,C,23,HOU,11,0,100,0.643,0.643,0.4,11,16,27,0,1,2,5,17,38,FT,West
Ish Smith,PG,25,PHO,70,1,1006,0.423,0.425,0.564,31,98,129,179,49,13,65,66,261,NP,West
J.R. Smith,SF,28,NYK,74,37,2421,0.415,0.514,0.652,35,261,296,219,65,20,108,196,1071,NP,East
Jason Smith,PF,27,NOP,31,27,830,0.465,0.465,0.78,51,130,181,29,11,29,28,100,301,NP,East
Josh Smith,SF,28,DET,77,76,2730,0.419,0.44799999999999995,0.532,102,418,520,252,105,110,199,197,1264,NP,East
Tony Snell,SG,22,CHI,77,12,1231,0.384,0.469,0.7559999999999999,19,105,124,68,29,15,44,84,346,FT,East
Marreese Speights,C,26,GSW,79,3,982,0.441,0.45,0.821,101,189,290,32,10,34,66,148,508,FT,West
Tiago Splitter,C,29,SAS,59,50,1271,0.523,0.523,0.6990000000000001,123,240,363,90,29,31,75,117,483,F,West
D.J. Stephens,SG,23,MIL,3,0,15,0.429,0.429,1.0,1,4,5,0,0,0,0,0,7,NP,East
Lance Stephenson,SG,23,IND,78,78,2752,0.491,0.54,0.711,95,463,558,359,54,7,210,195,1080,F,East
Greg Stiemsma,C,28,NOP,55,20,1007,0.574,0.574,0.594,72,154,226,36,35,57,44,169,159,NP,East
Julyan Stone,SG,25,TOR,21,0,120,0.41200000000000003,0.47100000000000003,0.667,2,18,20,12,3,0,5,13,18,FT,East
Amar'e Stoudemire,C,31,NYK,65,21,1466,0.557,0.557,0.7390000000000001,112,208,320,34,23,37,91,159,772,NP,East
Rodney Stuckey,SG,27,DET,73,5,1950,0.436,0.45,0.836,39,130,169,152,54,10,125,131,1012,NP,East
Jared Sullinger,PF,21,BOS,74,44,2041,0.4270000000000001,0.45799999999999996,0.778,241,360,601,118,35,49,119,251,982,NP,East
Jeffery Taylor,SF,24,CHA,26,8,629,0.376,0.41700000000000004,0.5529999999999999,15,45,60,22,13,5,25,62,208,FT,East
Tyshawn Taylor,PG,23,BRK,23,3,270,0.341,0.35700000000000004,0.8,3,12,15,36,12,1,31,29,89,FT,East
Jeff Teague,PG,25,ATL,79,79,2542,0.43799999999999994,0.474,0.846,34,174,208,528,89,17,232,158,1304,FT,East
Mirza Teletovic,SF,28,BRK,72,7,1396,0.418,0.546,0.71,60,206,266,57,29,23,54,143,622,FT,East
Garrett Temple,SG,27,WAS,75,0,638,0.36200000000000004,0.38299999999999995,0.698,21,47,68,72,35,11,42,72,138,FT,East
Jason Terry,PG,36,BRK,35,0,570,0.36200000000000004,0.49,0.667,4,33,37,56,13,0,27,48,159,FT,East
Hasheem Thabeet,C,26,OKC,23,0,192,0.565,0.565,0.2,9,31,40,1,4,9,14,47,27,F,West
Isaiah Thomas,PG,24,SAC,72,54,2497,0.45299999999999996,0.51,0.85,47,163,210,454,93,8,213,185,1465,NP,West
Lance Thomas,SF,25,NOP,5,0,42,0.222,0.222,0.5,2,5,7,3,0,0,2,4,6,NP,East
Hollis Thompson,SF,22,PHI,77,41,1742,0.46,0.55,0.7120000000000001,73,174,247,73,53,12,60,144,461,NP,East
Jason Thompson,PF,27,SAC,82,61,2007,0.506,0.506,0.579,153,374,527,53,32,56,95,251,586,NP,West
Klay Thompson,SG,23,GSW,81,81,2868,0.444,0.5329999999999999,0.795,38,211,249,181,74,37,135,234,1488,FT,West
Tristan Thompson,PF,22,CLE,82,82,2594,0.47700000000000004,0.47700000000000004,0.693,269,485,754,72,42,35,108,188,961,NP,East
Anthony Tolliver,PF,28,CHA,64,9,1298,0.42,0.586,0.805,33,135,168,42,19,15,23,82,393,FT,East
P.J. Tucker,SF,28,PHO,81,81,2490,0.431,0.491,0.7759999999999999,161,368,529,141,110,23,102,204,760,NP,West
Ronny Turiaf,PF,31,MIN,31,10,606,0.598,0.598,0.42,55,119,174,24,8,50,24,65,149,NP,West
Hedo Turkoglu,SF,34,LAC,38,0,392,0.385,0.486,0.5,11,78,89,33,19,10,16,50,115,FT,West
Jeremy Tyler,C,22,NYK,41,0,398,0.517,0.517,0.542,38,71,109,8,6,20,26,70,146,NP,East
Ekpe Udoh,PF,26,MIL,42,14,804,0.39899999999999997,0.39899999999999997,0.638,61,87,148,31,15,44,38,96,144,NP,East
Jonas Valanciunas,C,21,TOR,81,81,2282,0.531,0.531,0.762,226,488,714,57,24,71,136,249,916,FT,East
Anderson Varejao,C,31,CLE,65,29,1800,0.495,0.495,0.6809999999999999,187,442,629,140,69,39,72,164,546,NP,East
Charlie Villanueva,PF,29,DET,20,0,180,0.38,0.457,0.5710000000000001,6,28,34,6,4,5,7,16,92,NP,East
Nikola Vucevic,C,23,ORL,57,57,1812,0.507,0.507,0.7659999999999999,185,441,626,104,60,47,112,169,811,NP,West
Dwyane Wade,SG,32,MIA,54,53,1775,0.545,0.551,0.733,60,181,241,252,79,29,161,106,1028,F,East
Dion Waiters,SG,22,CLE,70,24,2072,0.433,0.479,0.685,32,163,195,209,63,17,154,153,1113,NP,East
Kemba Walker,PG,23,CHA,73,73,2614,0.39299999999999996,0.441,0.8370000000000001,39,267,306,447,86,32,169,128,1289,FT,East
John Wall,PG,23,WAS,82,82,2980,0.433,0.473,0.805,38,295,333,721,149,40,295,219,1583,FT,East
Gerald Wallace,SF,31,BOS,58,16,1416,0.504,0.546,0.465,36,176,212,143,73,14,97,79,298,NP,East
Casper Ware,PG,24,PHI,9,0,116,0.429,0.512,0.833,0,9,9,10,8,0,5,11,48,NP,East
C.J. Watson,PG,29,IND,63,5,1193,0.4370000000000001,0.516,0.784,19,82,101,107,60,8,60,66,414,F,East
Earl Watson,PG,34,POR,24,0,161,0.273,0.364,1.0,5,10,15,28,5,1,17,33,12,FT,West
Martell Webster,SF,27,WAS,78,13,2157,0.433,0.557,0.84,38,184,222,97,41,15,58,150,759,FT,East
David West,PF,33,IND,80,80,2472,0.488,0.49,0.789,120,422,542,223,61,74,133,186,1118,F,East
Russell Westbrook,PG,25,OKC,46,46,1412,0.4370000000000001,0.48,0.826,55,208,263,319,88,7,177,104,1002,F,West
Deron Williams,PG,29,BRK,64,58,2059,0.45,0.518,0.8009999999999999,15,153,168,392,93,13,143,148,915,FT,East
Elliot Williams,SG,24,PHI,67,2,1157,0.415,0.47,0.731,30,100,130,72,35,3,68,126,404,NP,East
Louis Williams,PG,27,ATL,60,7,1445,0.4,0.48,0.8490000000000001,10,114,124,210,45,4,92,65,625,FT,East
Marvin Williams,PF,27,UTA,66,50,1674,0.439,0.519,0.7809999999999999,82,252,334,78,54,31,53,151,603,NP,West
Mo Williams,PG,31,POR,74,0,1834,0.41700000000000004,0.478,0.8759999999999999,42,111,153,321,55,10,149,197,721,FT,West
Shawne Williams,PF,27,LAL,36,13,751,0.38,0.49,0.7,25,142,167,30,19,30,21,93,202,NP,West
Jeff Withey,C,23,NOP,58,4,684,0.535,0.535,0.7120000000000001,49,101,150,26,15,50,20,73,190,NP,East
Nate Wolters,PG,22,MIL,58,31,1309,0.4370000000000001,0.46,0.6559999999999999,33,116,149,187,35,15,57,67,417,NP,East
Metta World Peace,SF,34,NYK,29,1,388,0.397,0.457,0.625,18,41,59,17,24,8,19,44,139,NP,East
Brandan Wright,C,26,DAL,58,0,1077,0.677,0.677,0.726,102,142,244,31,32,55,35,94,525,FT,West
Chris Wright,SF,25,MIL,8,0,126,0.6,0.6,0.4,10,10,20,5,7,5,5,17,48,NP,East
Dorell Wright,SF,28,POR,68,13,984,0.374,0.49,0.754,29,162,191,64,23,16,39,62,343,FT,West
Tony Wroten,SG,20,PHI,72,16,1765,0.4270000000000001,0.452,0.6409999999999999,69,159,228,217,78,16,204,151,939,NP,East
Nick Young,SG,28,LAL,64,9,1810,0.435,0.511,0.825,29,137,166,95,46,12,95,156,1144,NP,West
Thaddeus Young,PF,25,PHI,79,78,2718,0.45399999999999996,0.489,0.7120000000000001,166,310,476,182,167,36,165,213,1417,NP,East
Cody Zeller,C,21,CHA,82,3,1416,0.426,0.426,0.73,118,235,353,92,40,41,87,170,490,FT,East
Tyler Zeller,C,24,CLE,70,9,1049,0.5379999999999999,0.5379999999999999,0.7190000000000001,103,179,282,36,18,38,60,137,399,NP,East
